Region_ADM,Nombre_de_points_cluster,Nombre_de_points_total,Pourcentage_non_couvert
Outaouais,6789,195476,3.5%
Nord-du-Québec,651,20565,3.2%
Abitibi-Témiscamingue,1921,79313,2.4%
Saguenay–Lac-Saint-Jean,3072,148921,2.1%
Bas-Saint-Laurent,2156,108573,2%
Centre-du-Québec,2322,126316,1.8%
Chaudière-Appalaches,3768,227152,1.7%
Côte-Nord,678,46634,1.5%
Estrie,3200,235819,1.4%
Lanaudière,3129,235574,1.3%
Laurentides,3445,312320,1.1%
Mauricie,1207,140681,0.9%
Capitale-Nationale,2224,293268,0.8%
Montérégie,4333,546560,0.8%
Gaspésie–Îles-de-la-Madeleine,359,54315,0.7%
Laval,882,142056,0.6%
Montréal,2923,618174,0.5%
